Year,Report ID,Country,License,Commodity Type Overview,Commodity_type,Title / Project type,Project Name / concession layer,Project_ID,Project_Uri,Company_Name,Company_ID,Company share of project,IsOperator,Production Year,Production_volume,Production_unit,Price from EITI Report,Unit,Payment received by government (US$),Payment by company (US$),Company,Currency,Data,Company,Value
#year,#eitiSrouce,#country,#license,#project+commodityType,#project+commodityDetails,,#project,#project+identifier,#project+url,#project+company,#project+company+identifier,#project+company+share,#project+company+isOperator,#project+production+year,#project+production+volume,#project+production+unit,#project+production+price,#project+production+priceUnit,#governmentReceipt,#companyPayment,#companyPayment+country,#companyPayment+currency,#companyPayment+date,#companyPayment+company,#companyPayment+value
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,South & Central Sumatra,,,PT Medco E&P Indonesia,,,,2009,,,,,"166,905,000","257,667,000",Indonesia,USD,2009,PT Medco E&P Indonesia,"257,667,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Tarakan,,,PT Medco E&P Tarakan,,,,2009,,,,,"39,340,000","39,340,000",Indonesia,USD,2009,PT Medco E&P Tarakan,"39,340,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Lematang,,,PT Medco E&P Lematang,,,,2009,,,,,"45,000","45,000",Indonesia,USD,2009,PT Medco E&P Lematang,"45,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Natuna Sea - A,,,Premier Oil Natuna SEA BV,,,,2009,,,,,"345,456,000","345,090,000",Indonesia,USD,2009,Premier Oil Natuna SEA BV,"345,090,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Malacca Strait,,,Kondur Petroleum S.A,,,,2009,,,,,"126,891,000","125,739,000",Indonesia,USD,2009,Kondur Petroleum S.A,"125,739,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Kangean,,,Kangean Energy Indonesia Ltd.,,,,2009,,,,,"8,097,000","8,098,000",Indonesia,USD,2009,Kangean Energy Indonesia Ltd.,"8,098,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Korinci,,,Kalila (Korinci) Ltd.,,,,2009,,,,,"1,217,000","1,217,000",Indonesia,USD,2009,Kalila (Korinci) Ltd.,"1,217,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Brantas,,,Lapindo Brantas Inc.,,,,2009,,,,,"1,694,000","1,695,000",Indonesia,USD,2009,Lapindo Brantas Inc.,"1,695,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Kakap,,,Star Energy Kakap Ltd.,,,,2009,,,,,"116,257,000","117,583,000",Indonesia,USD,2009,Star Energy Kakap Ltd.,"117,583,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,"Pangkah, East Java",,,Hess (Indonesia-Pangkah) Ltd.,,,,2009,,,,,"18,954,000","18,954,000",Indonesia,USD,2009,Hess (Indonesia-Pangkah) Ltd.,"18,954,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,"Sampang, East Java Sea",,,Santos (Sampang) Pty. Ltd,,,,2009,,,,,"13,577,000","13,578,000",Indonesia,USD,2009,Santos (Sampang) Pty. Ltd,"13,578,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Madura Offshore,,,Santos (Madura Offshore) Pty. Ltd.,,,,2009,,,,,"8,590,000","8,589,000",Indonesia,USD,2009,Santos (Madura Offshore) Pty. Ltd.,"8,589,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,"Sengkang, South Sulawesi",,,Energy Equity Epic (Sengkang) Pty. Ltd.,,,,2009,,,,,"7,228,000","7,228,000",Indonesia,USD,2009,Energy Equity Epic (Sengkang) Pty. Ltd.,"7,228,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Seram Non Bula,,,CITIC Seram Energy Ltd.,,,,2009,,,,,"3,095,000","3,095,000",Indonesia,USD,2009,CITIC Seram Energy Ltd.,"3,095,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Bula - Seram,,,Kalrez Petroleum (Seram) Ltd.,,,,2009,,,,,"1,056,000","1,055,000",Indonesia,USD,2009,Kalrez Petroleum (Seram) Ltd.,"1,055,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Tungkal,,,Pearl Oil (Tungkal) Ltd.,,,,2009,,,,,"1,837,000","1,837,000",Indonesia,USD,2009,Pearl Oil (Tungkal) Ltd.,"1,837,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Selat Panjang,,,Petroselat Ltd.,,,,2009,,,,,"1,123,000","1,123,000",Indonesia,USD,2009,Petroselat Ltd.,"1,123,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Wailawi,,,Perusda Benuo Taka,,,,2009,,,,,"442,000","442,000",Indonesia,USD,2009,Perusda Benuo Taka,"442,000"
2009,Indonesia2009,Indonesia,,Oil & Gas,Oil & Gas,,Gebang,,,Costa International Group Ltd.,,,,2009,,,,,"103,000","103,000",Indonesia,USD,2009,Costa International Group Ltd.,"103,000"
2010,Indonesia2010,Indonesia,,Oil & Gas,Oil,,Rokan,,,PT Chevron Pacific Indonesia,,,,2010,"123,168,812",barrels,Not given,,"7,127,862,000","7,127,862,000",Indonesia,USD,2010,PT Chevron Pacific Indonesia,"7,127,862,000"
