Country,ConcessionName,ConcessionContractor,ConcessionDescription,ConcessionSource,ConcessionSourceDate,Retrieved at
#country,#license,#license+participant+company,#license+description,#source,#sourceDate,#retrievedAt
Indonesia,Kahayan,PT Mandira Mahesa Energi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Biliton,Mitra Energy Biliton LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Makassar Strait - Offshore Area A,Chevron Makasar LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P17b Kluang Siarak Area-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Langgak,PT Sarana Pembangunnan Riau & Kingswood Capital LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Obi,Niko Resources Obi LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Merangin III,Cooper Energy Merangin III Limited,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P41b Sumbagsel Area-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Madura,South Madura Exploration Company LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lampung II,Petronas Carigali Lampung II LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Semai V,Hess Indonesia Semai V LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Betung,Techwin Energy South Betung LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Offshore Lampung I,PT Aditya Nugraha Pratama Energy Lampung,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sendro-Toili Block,JOB Pertamina-Medco E&P Tomori Sulawesi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kumawa,Black Gold Kumawa LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P1c AD Sabaku 4,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Lemang,PT Hexindo Gemilang Java,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Sokang,Lundin South Sokang B.V & Salamander Energy South Sokang LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Bengara II,Caelus South Bengara II PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P14 Kemundan,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Central Mahakam,PT Percie Mahakam Petroleum,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cendrawasih Bay III,Niko Resources Cendrawasih Bay III LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kuma,ConocoPhillips Kuma LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P27 Poleng,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Batu Gajah,Ranhil Jambi INC PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Pasir,Pasir Petroleum Resources LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bukat,ENI Bukat LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P38 Senabing,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sampang,Santons Sampang PTY LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kepala Burung,Petrochina International Bermuda LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,NSO/NSO EXT,Exxonmobil Oil Indonesia INC.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P48 Wiriagar,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Andaman III,Talisman Andaman B.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Belida,PT Sele Raya Belida,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Buton,Japex Buton LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North East Madura III,Anadarko Indonesia Company,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sanga-Sanga Block,"Virginia Indonesia CO, LLC",,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Sokang,PT Ekuator Energi Sokang,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bula Block,Lion Petroleum Seram LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Aru II,BP West Aru II LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P11b Jawa Bagian Timur Area-4,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kuala Pambuang,PT Mentari Pambuang Internasional,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Semai IV,Murphy Semai IV LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South East Palung Aru Block,Cnooc Palung Aru LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P23 Muara Block,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Air Komering,PT Tiara Bumi Petroleum,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North Sokang,North Sokang Energy LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Malacca Strait,EMP Malacca Strai S.A,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P33 Sambutan Field,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bontang,Salamander Energy Bontang PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Randugunting,Pertamina EP Randugunting,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Kalyani,Eurorich Group LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P44b Tarakan-3,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sebatik,Star Enerhy Sentosa Sebatik LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Rokan,PT Chevron Pacific Indonesia,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Pari,Indoreach Exploration LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tengah Block,Total E&P Indonesie,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sula I,PT Brilliance Energy,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bulu,Krisenergy Satria LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sokang,Black Platinum Investment LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P7 East Aceh,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sembilang,PT Madhiri Panca Usaha,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cepu Block,Mobil Cepu LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Rapak Block,Chevron Rapak LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P18 Lapisan Parigi,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Marquisa,PT Schintar Marquisa,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sunda Strait I,Niko Resources Overseas XXVI LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sumbagsel,Cooper Energy Sumbagsel Limited,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P42 Tanjung Area-1,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Mahakam Hilir,SPC E&P Lipstream PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Selat Paniang,Petroselat LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Sesulu,Hess Indonesia South Sesulu LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
