Source,Source Date,True At,Country,Project Name / concession layer,Project_ID,Commodity Type Overview,Commodity_type,Date of participation data,Company_Name,Company_ID,Share,Is Operator,License_name,License_ID,Government,Organisation_Identifier,Production_volume,Production_unit,Price from EITI Report,Unit,Payment_type,Currency,Payment received by government (US$),Payment by company (US$)
#source,#sourceDate,#trueAt,#country,#project,#project+identifier,#commodity,#commodity+code,#participant+trueAt,#participant+company,#participant+company+identifier,#participant+share,#participant+isOperator,#license,#license+identifier,,,,,,,,,,
,,,Indonesia,Rokan,,Oil & Gas,Oil,,PT Chevron Pacific Indonesia,,,,,,,,"123,168,812",barrels,Not given,,,,"7,127,862,000","7,127,862,000"
,,,Indonesia,East Kalimantan,,Oil & Gas,Oil,,Chevron Indonesia Company,,,,,,,,"8,435,754",barrels,Not given,,,,"545,349,000","545,349,000"
,,,Indonesia,East Kalimantan,,Oil & Gas,Gas,,Inpex Offshore North Mahakam Ltd,,,,,,,,"31,986,233",MSCF,Not given,,,,"10,391,000","10,391,000"
,,,Indonesia,Makassar Strait,,Oil & Gas,Oil,,Chevron Makassar Ltd.,,,,,,,,"1,698,543",barrels,Not given,,,,"128,022,000","128,022,000"
,,,Indonesia,Makassar Strait,,Oil & Gas,Gas,,PT PHE Makassar Strait,,,,,,,,"8,501,184",MSCF,Not given,,,,"12,367,000","12,367,000"
,,,Indonesia,Siak,,Oil & Gas,Oil,,Chevron Siak Inc.,,,,,,,,"749,000",barrels,Not given,,,,"46,967,000","46,967,000"
,,,Indonesia,MFK,,Oil & Gas,Oil,,Chevron Mountain Front Kuantan Inc.,,,,,,,,"47,948",barrels,Not given,,,,"3,211,000","3,211,000"
,,,Indonesia,MFK,,Oil & Gas,,,PT PHE MFK,,,,,,,,,,,,,,"240,000","240,000"
,,,Indonesia,Mahakam,,Oil & Gas,Oil,,Total E&P Indonesie,,,,,,,,"34,104,006",barrels,Not given,,,,"4,540,376,000","4,540,376,000"
,,,Indonesia,Mahakam,,Oil & Gas,Gas,,Inpex Corporation,,,,,,,,"807,568,771",MSCF,Not given,,,,"1,873,828,000","1,873,750,000"
,,,Indonesia,Mahakam,,Oil & Gas,,,Indonesia Petroleum Ltd,,,,,,,,,,,,,,,
,,,Indonesia,South Natuna Sea B,,Oil & Gas,Oil,,ConocoPhillips Indonesia Inc. Ltd.,,,,,,,,"21,555,884",barrels,Not given,,,,"1,487,339,000","1,468,298,000"
,,,Indonesia,South Natuna Sea B,,Oil & Gas,Gas,,Chevron South Natuna B Inc,,,,,,,,"166,688,250",MSCF,Not given,,,,"108,150,000","108,150,000"
,,,Indonesia,South Natuna Sea B,,Oil & Gas,,,Inpex Natuna Ltd,,,,,,,,,,,,,,"177,139,000","177,139,000"
,,,Indonesia,Corridor,,Oil & Gas,Oil,,ConocoPhillips (Grissik) Ltd.,,,,,,,,"3,964,416",barrels,Not given,,,,"1,409,579,000","1,406,750,000"
,,,Indonesia,Corridor,,Oil & Gas,Gas,,Talisman Energi,,,,,,,,"349,021,784",MSCF,Not given,,,,"221,486,000","221,486,000"
,,,Indonesia,Corridor,,Oil & Gas,,,Pertamina EP,,,,,,,,,,,,,,"71,318,000","71,318,000"
,,,Indonesia,South Jambi B,,Oil & Gas,Oil,,ConocoPhillips (South Jambi) Ltd.,,,,,,,,"23,085",barrels,Not given,,,,"1,425,000","1,723,000"
,,,Indonesia,South Jambi B,,Oil & Gas,Gas,,PT PHE South Jambi,,,,,,,,"1,093,203",MSCF,Not given,,,,"293,000","293,000"
,,,Indonesia,South Jambi B,,Oil & Gas,,,Petrochina,,,,,,,,,,,,,,"500,000",
,,,Indonesia,South Jambi B,,Oil & Gas,,,Pertamina,,,,,,,,,,,,,,,
,,,Indonesia,Indonesia (Nation-wide),,Oil & Gas,Oil,,PT Pertamina EP,,,,,,,,"46,758,400",barrels,Not given,,,,"1,635,485,000","1,637,507,000"
,,,Indonesia,Indonesia (Nation-wide),,Oil & Gas,Gas,,Koperasi Energi Indonesia,,,,,,,,"299,389,811",MSCF,Not given,,,,,
,,,Indonesia,Sanga-Sanga,,Oil & Gas,Oil,,Virginia Indonesia Co.,,,,,,,,"6,484,541",barrels,Not given,,,,"675,289,000","675,289,000"
